MES_ANO,ESTADO,VALOR REVENDA (R$/L)
2005-04,RIO GRANDE DO SUL,2.5765000000000002
2005-04,RONDONIA,2.52575
2005-04,RORAIMA,2.4475
2005-04,SANTA CATARINA,2.3765
2005-04,SAO PAULO,2.18575
2005-04,SERGIPE,2.2664999999999997
2005-04,TOCANTINS,2.45175
2005-05,ACRE,2.6315
2005-05,ALAGOAS,2.49275
2005-05,AMAPA,2.422
2005-05,AMAZONAS,2.4895
2005-05,BAHIA,2.323
2005-05,CEARA,2.4282500000000002
2005-05,DISTRITO FEDERAL,2.286
2005-05,ESPIRITO SANTO,2.3045
2005-05,GOIAS,2.24175
2005-05,MARANHAO,2.2765
2005-05,MATO GROSSO,2.6725
2005-05,MATO GROSSO DO SUL,2.50225
2005-05,MINAS GERAIS,2.19775
2005-05,PARA,2.409
2005-05,PARAIBA,2.24725
2005-05,PARANA,2.2605
2005-05,PERNAMBUCO,2.27375
2005-05,PIAUI,2.43975
2005-05,RIO DE JANEIRO,2.28125
2005-05,RIO GRANDE DO NORTE,2.239
2005-05,RIO GRANDE DO SUL,2.5035
2005-05,RONDONIA,2.52325
2005-05,RORAIMA,2.4465
2005-05,SANTA CATARINA,2.3754999999999997
2005-05,SAO PAULO,2.1784999999999997
2005-05,SERGIPE,2.265
2005-05,TOCANTINS,2.44375
2005-06,ACRE,2.5956
2005-06,ALAGOAS,2.517
2005-06,AMAPA,2.4254
2005-06,AMAZONAS,2.4872
2005-06,BAHIA,2.3192
2005-06,CEARA,2.3006
2005-06,DISTRITO FEDERAL,2.2763999999999998
2005-06,ESPIRITO SANTO,2.2692
2005-06,GOIAS,2.2244
2005-06,MARANHAO,2.2296
2005-06,MATO GROSSO,2.6834
2005-06,MATO GROSSO DO SUL,2.4704
2005-06,MINAS GERAIS,2.1608
2005-06,PARA,2.3944
2005-06,PARAIBA,2.2832
2005-06,PARANA,2.138
2005-06,PERNAMBUCO,2.35
2005-06,PIAUI,2.3398
2005-06,RIO DE JANEIRO,2.2634
2005-06,RIO GRANDE DO NORTE,2.245
2005-06,RIO GRANDE DO SUL,2.532
2005-06,RONDONIA,2.5014
2005-06,RORAIMA,2.5174
2005-06,SANTA CATARINA,2.3612
2005-06,SAO PAULO,2.151
2005-06,SERGIPE,2.26
2005-06,TOCANTINS,2.4425999999999997
2005-07,ACRE,2.571
2005-07,ALAGOAS,2.51525
2005-07,AMAPA,2.42625
2005-07,AMAZONAS,2.4885
2005-07,BAHIA,2.2945
2005-07,CEARA,2.401
2005-07,DISTRITO FEDERAL,2.27825
2005-07,ESPIRITO SANTO,2.2175000000000002
2005-07,GOIAS,2.30525
2005-07,MARANHAO,2.25725
2005-07,MATO GROSSO,2.68425
2005-07,MATO GROSSO DO SUL,2.456
2005-07,MINAS GERAIS,2.18575
2005-07,PARA,2.3875
2005-07,PARAIBA,2.234
2005-07,PARANA,2.2177499999999997
2005-07,PERNAMBUCO,2.35625
2005-07,PIAUI,2.33375
2005-07,RIO DE JANEIRO,2.2575
2005-07,RIO GRANDE DO NORTE,2.2102500000000003
2005-07,RIO GRANDE DO SUL,2.544
2005-07,RONDONIA,2.4747500000000002
2005-07,RORAIMA,2.5172499999999998
2005-07,SANTA CATARINA,2.338
2005-07,SAO PAULO,2.15325
2005-07,SERGIPE,2.25725
2005-07,TOCANTINS,2.443
2005-08,ACRE,2.5243333333333333
2005-08,ALAGOAS,2.5166666666666666
2005-08,AMAPA,2.420666666666667
2005-08,AMAZONAS,2.487666666666667
2005-08,BAHIA,2.275
2005-08,CEARA,2.4246666666666665
2005-08,DISTRITO FEDERAL,2.312
2005-08,ESPIRITO SANTO,2.27
2005-08,GOIAS,2.2913333333333337
2005-08,MARANHAO,2.2556666666666665
2005-08,MATO GROSSO,2.6783333333333332
2005-08,MATO GROSSO DO SUL,2.48
2005-08,MINAS GERAIS,2.1946666666666665
2005-08,PARA,2.3829999999999996
2005-08,PARAIBA,2.2293333333333334
2005-08,PARANA,2.2406666666666664
2005-08,PERNAMBUCO,2.3413333333333335
2005-08,PIAUI,2.316333333333333
2005-08,RIO DE JANEIRO,2.2536666666666667
2005-08,RIO GRANDE DO NORTE,2.263333333333333
2005-08,RIO GRANDE DO SUL,2.530666666666667
2005-08,RONDONIA,2.487
2005-08,RORAIMA,2.5523333333333333
2005-08,SANTA CATARINA,2.344
2005-08,SAO PAULO,2.155
2005-08,SERGIPE,2.2546666666666666
2005-08,TOCANTINS,2.4456666666666664
2005-09,ACRE,2.6725
2005-09,ALAGOAS,2.6405000000000003
2005-09,AMAPA,2.48925
2005-09,AMAZONAS,2.6545
2005-09,BAHIA,2.4619999999999997
2005-09,CEARA,2.556
2005-09,DISTRITO FEDERAL,2.3535
2005-09,ESPIRITO SANTO,2.4202500000000002
2005-09,GOIAS,2.32775
2005-09,MARANHAO,2.40675
2005-09,MATO GROSSO,2.8217499999999998
2005-09,MATO GROSSO DO SUL,2.62225
2005-09,MINAS GERAIS,2.306
2005-09,PARA,2.49525
2005-09,PARAIBA,2.41025
2005-09,PARANA,2.37
2005-09,PERNAMBUCO,2.439
2005-09,PIAUI,2.51675
2005-09,RIO DE JANEIRO,2.3689999999999998
2005-09,RIO GRANDE DO NORTE,2.48625
2005-09,RIO GRANDE DO SUL,2.69075
2005-09,RONDONIA,2.57325
2005-09,RORAIMA,2.6725
2005-09,SANTA CATARINA,2.481
2005-09,SAO PAULO,2.292
2005-09,SERGIPE,2.3815
2005-09,TOCANTINS,2.5495
2005-10,ACRE,2.76525
2005-10,ALAGOAS,2.724
2005-10,AMAPA,2.474
2005-10,AMAZONAS,2.728
2005-10,BAHIA,2.5015
2005-10,CEARA,2.6085000000000003
2005-10,DISTRITO FEDERAL,2.4314999999999998
2005-10,ESPIRITO SANTO,2.5385
2005-10,GOIAS,2.411
2005-10,MARANHAO,2.54275
2005-10,MATO GROSSO,2.88225
2005-10,MATO GROSSO DO SUL,2.70475
2005-10,MINAS GERAIS,2.38325
2005-10,PARA,2.55
2005-10,PARAIBA,2.40175
2005-10,PARANA,2.40175
2005-10,PERNAMBUCO,2.43425
2005-10,PIAUI,2.57225
2005-10,RIO DE JANEIRO,2.472
2005-10,RIO GRANDE DO NORTE,2.5220000000000002
2005-10,RIO GRANDE DO SUL,2.76025
2005-10,RONDONIA,2.66875
2005-10,RORAIMA,2.7582500000000003
2005-10,SANTA CATARINA,2.54775
2005-10,SAO PAULO,2.35825
2005-10,SERGIPE,2.45625
2005-10,TOCANTINS,2.621
2005-11,ACRE,2.7960000000000003
2005-11,ALAGOAS,2.7244
2005-11,AMAPA,2.537
2005-11,AMAZONAS,2.7521999999999998
2005-11,BAHIA,2.4926000000000004
2005-11,CEARA,2.5722
2005-11,DISTRITO FEDERAL,2.4842
2005-11,ESPIRITO SANTO,2.5258
2005-11,GOIAS,2.4968
2005-11,MARANHAO,2.5402
2005-11,MATO GROSSO,2.881
2005-11,MATO GROSSO DO SUL,2.7009999999999996
2005-11,MINAS GERAIS,2.3857999999999997
2005-11,PARA,2.6238
2005-11,PARAIBA,2.5072
2005-11,PARANA,2.4548
2005-11,PERNAMBUCO,2.5462
2005-11,PIAUI,2.4482
2005-11,RIO DE JANEIRO,2.4808
2005-11,RIO GRANDE DO NORTE,2.5164
2005-11,RIO GRANDE DO SUL,2.7202
2005-11,RONDONIA,2.7414
2005-11,RORAIMA,2.8566
2005-11,SANTA CATARINA,2.5522
2005-11,SAO PAULO,2.3560000000000003
2005-11,SERGIPE,2.4504
2005-11,TOCANTINS,2.645
2005-12,ACRE,2.795
2005-12,ALAGOAS,2.722
2005-12,AMAPA,2.56775
2005-12,AMAZONAS,2.71725
2005-12,BAHIA,2.4845
2005-12,CEARA,2.5404999999999998
2005-12,DISTRITO FEDERAL,2.553
2005-12,ESPIRITO SANTO,2.49
2005-12,GOIAS,2.5135
2005-12,MARANHAO,2.547
2005-12,MATO GROSSO,2.88475
2005-12,MATO GROSSO DO SUL,2.71575
2005-12,MINAS GERAIS,2.39625
2005-12,PARA,2.61525
2005-12,PARAIBA,2.513
2005-12,PARANA,2.4297500000000003
2005-12,PERNAMBUCO,2.5265
2005-12,PIAUI,2.4245
2005-12,RIO DE JANEIRO,2.50375
2005-12,RIO GRANDE DO NORTE,2.50175
2005-12,RIO GRANDE DO SUL,2.7272499999999997
2005-12,RONDONIA,2.7225
2005-12,RORAIMA,2.86625
2005-12,SANTA CATARINA,2.55525
2005-12,SAO PAULO,2.36525
2005-12,SERGIPE,2.45
2005-12,TOCANTINS,2.66175
2006-01,ACRE,2.8765
2006-01,ALAGOAS,2.72375
2006-01,AMAPA,2.58975
2006-01,AMAZONAS,2.60825
2006-01,BAHIA,2.55825
2006-01,CEARA,2.55975
2006-01,DISTRITO FEDERAL,2.6100000000000003
2006-01,ESPIRITO SANTO,2.59
2006-01,GOIAS,2.5397499999999997
2006-01,MARANHAO,2.6100000000000003
2006-01,MATO GROSSO,2.91
2006-01,MATO GROSSO DO SUL,2.74025
2006-01,MINAS GERAIS,2.455
2006-01,PARA,2.647
2006-01,PARAIBA,2.5547500000000003
2006-01,PARANA,2.451
2006-01,PERNAMBUCO,2.44475
2006-01,PIAUI,2.416
2006-01,RIO DE JANEIRO,2.5397499999999997
2006-01,RIO GRANDE DO NORTE,2.51225
2006-01,RIO GRANDE DO SUL,2.7047499999999998
2006-01,RONDONIA,2.735
2006-01,RORAIMA,2.86425
2006-01,SANTA CATARINA,2.58475
2006-01,SAO PAULO,2.393
2006-01,SERGIPE,2.50475
2006-01,TOCANTINS,2.6835
2006-02,ACRE,2.87425
2006-02,ALAGOAS,2.7235
2006-02,AMAPA,2.58775
2006-02,AMAZONAS,2.57875
2006-02,BAHIA,2.565
2006-02,CEARA,2.65775
2006-02,DISTRITO FEDERAL,2.6395
2006-02,ESPIRITO SANTO,2.54725
2006-02,GOIAS,2.52175
2006-02,MARANHAO,2.60825
2006-02,MATO GROSSO,2.93375
2006-02,MATO GROSSO DO SUL,2.7720000000000002
2006-02,MINAS GERAIS,2.467
2006-02,PARA,2.658
2006-02,PARAIBA,2.57675
2006-02,PARANA,2.4465
2006-02,PERNAMBUCO,2.6229999999999998
2006-02,PIAUI,2.5917499999999998
2006-02,RIO DE JANEIRO,2.5477499999999997
2006-02,RIO GRANDE DO NORTE,2.543
2006-02,RIO GRANDE DO SUL,2.7039999999999997
2006-02,RONDONIA,2.7279999999999998
2006-02,RORAIMA,2.8675
2006-02,SANTA CATARINA,2.581
2006-02,SAO PAULO,2.394
2006-02,SERGIPE,2.5092499999999998
2006-02,TOCANTINS,2.6877500000000003
2006-03,ACRE,2.9044
2006-03,ALAGOAS,2.7939999999999996
2006-03,AMAPA,2.6204
2006-03,AMAZONAS,2.5832
2006-03,BAHIA,2.6635999999999997
2006-03,CEARA,2.7321999999999997
2006-03,DISTRITO FEDERAL,2.5838
2006-03,ESPIRITO SANTO,2.649
2006-03,GOIAS,2.5606
2006-03,MARANHAO,2.714
2006-03,MATO GROSSO,3.0078
2006-03,MATO GROSSO DO SUL,2.7836
